user_id,session_id,timestamp,event_name,screen,category,device_tier,os,cold_start,latency_ms,payment_provider,outcome
user_0000,session_0000,2026-01-15T09:00:00+00:00,appOpen,app_open,lifecycle,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:01.017000+00:00,splash_view,splash,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:02.087000+00:00,homeRendered,home,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:02.498000+00:00,srch_view,search,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:04.298000+00:00,search_submit,search,interaction,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:05.372000+00:00,productViewed,product_detail,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:06.928000+00:00,addToCart,product_detail,commerce,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:07.956000+00:00,crt_view,cart,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:08.767000+00:00,begin_checkout,checkout,commerce,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:10.037000+00:00,shipping_view,shipping,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:10.753000+00:00,shipping_submit,shipping,commerce,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:12.250000+00:00,pay_view,payment,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:13.442000+00:00,payment_submit,payment,commerce,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:15.014000+00:00,order_complete,confirmation,commerce,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:15.675000+00:00,confirmation_view,confirmation,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:16.058000+00:00,recommendations_view,recommendations,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:17.349000+00:00,loyalty_view,loyalty,screen,mid,Android_10,false,0,CardWorks,ok
user_0000,session_0000,2026-01-15T09:00:18.624000+00:00,session_end,session_end,lifecycle,mid,Android_10,false,0,CardWorks,ok
user_0001,session_0001,2026-01-15T09:00:37+00:00,app_open,app_open,lifecycle,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:38.387000+00:00,splash_view,splash,screen,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:38.807000+00:00,hm_rndr,home,screen,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:39.905000+00:00,srch_view,search,screen,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:40.582000+00:00,search_submit,search,interaction,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:42.115000+00:00,pdp_view,product_detail,screen,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:43.045000+00:00,add_to_cart,product_detail,commerce,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:43.423000+00:00,viewCart,cart,screen,new,Android_14,false,0,PayFast,ok
user_0001,session_0001,2026-01-15T09:00:44.742000+00:00,chkout_init,checkout,commerce,new,Android_14,false,0,PayFast,ok
